address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,Currently seeking the next career challenge of continuing the path of accounting management in a small to medium-sized company that needs an involved professional with demonstrated leadership experience.,"['Proactive', 'self-motivated', 'team player', 'AP', 'AR', 'bank reconciliations', 'billings', 'budgets', 'cash flow projections', 'government contracting', 'financial statements', 'Quickbooks', 'Peachtree', 'JDE', 'Great Plains', 'LabView', 'Matlab', 'Access', 'Excel', 'Word']","['University of Maryland, University College', 'University of Maryland', 'University of Maryland']","['Master of Science', 'M. Eng', 'Bachelor of Science']","['2012', '2001', 'N/A']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['Accounting and Finance', 'Aerospace Engineering', 'Aerospace Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['August 2011', 'July 2006', 'July 1995', 'January 1992']","['Current', 'August 2011', 'July 2006', 'July 1995']","[['financial integration', 'problem-solving', 'project management', 'mentoring'], ['accounting system', 'Quickbooks Pro', 'financial audit', 'staff supervision'], ['simulation tool', 'US Navy analysis', 'technical proposal writing'], ['sensing and actuator technologies', 'DARPA project', 'engineering project management']]","['Engineering Supervisor', 'Vice President', 'Assistant Program Manager', 'Project Engineer']","['City, State', 'City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['Affiliation'],['American Institute of Certified Public Accountants (AICPA)'],[None],['N/A'],,,['CPA'],[None],"https://github.com/armon, https://leetcode.com/neal_wu",['2013'],[None],Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.716666667
"Vancouver, BC","Senior Computer Vision Scientist with 10+ years of experience working with data and data sets of varying size and complexity. As a seasoned Computer Scientist, I am looking to continue my career in a senior or director-level position with AbCellera.","['Snowflake', 'Python', 'C++', 'R', 'SQL', 'Tableau', 'PyTorch']",['University of British Columbia'],['B.S.'],['2013'],['N/A'],['N/A'],['Engineering'],"['AbCellera', 'Microsoft', 'Swiss Re']","['N/A', 'N/A', 'N/A']","['July 2014', 'January 2012', 'May 2012']","['current', 'June 2014', 'May 2014']","[['Computer Vision', 'Machine Learning', 'Data Collection', 'KPI Reports'], ['Predictive Modeling', 'Data Analysis', 'Algorithm Development', 'Data Visualization'], ['Data Science', 'Algorithm Development', 'Strategic Insights', 'Business Communication']]","['Computer Vision Scientist', 'IT Data Scientist', 'Associate Data Scientist']","['Remote', 'Vancouver, BC', 'Toronto, Canada']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,"['N/A', 'N/A']","[None, None]","https://github.com/cassidoo, https://leetcode.com/tourist","[None, None]","[None, None]",Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.85
,,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['CDAC ACTS'],['B.Tech'],['2020'],['N/A'],['N/A'],['Electronics and Telecommunication'],['BlueM Solutions'],[None],['Jun 2020'],['till date'],"[['Machine Learning', 'Python']]",['Associate Software Engineer and Analyst'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['AWS'],[None],"https://github.com/practice-account, https://leetcode.com/newuser2024",['N/A'],[None],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.75
,,"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']","['Raja Birsimbal College, Ranchi']",['B.Tech'],['2019'],['N/A'],['N/A'],['CSE'],['TML Infotech'],['N/A'],['Mar 2019'],['till date'],"[['Machine learning', 'Deep Learning', 'Data Science']]",['Junior Machine Learning And Deep Learning Engineer'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",['Specialization'],['DeepLearning.ai'],['N/A'],['N/A'],,,,,"https://github.com/sample-dev, https://leetcode.com/williamfiset",,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.65
,,"['Mechanically-inclined', 'Diagnosis and repair', 'Skilled concrete finisher', 'Preventative maintenance', 'Dexterous with hand tools', 'Suspension and alignment', 'Strong attention to detail', 'Brake systems expertise', 'Troubleshooting', 'Brake repair and replacement', 'Responsible and reliable', 'Strategic thinker', 'Excellent problem solver', 'Self-starter', 'Decisive', 'Critical thinker', 'customer service', 'documentation', 'forklift', 'forms', 'legal', 'materials', 'policies', 'problem solving skills', 'progress', 'quality assurance', 'read', 'repairs', 'safety', 'struts', 'supervisor', 'tear']","['Maury High School', 'Lamar Institute of Technology']","['Diploma', None]","['1986', None]","[None, '4.0']","[None, None]","['General Studies', 'Industrial Maintenance Industrial Engineering, Production Engineering, Mechanical Engineering and Engineering Welding Fabrication, Industrial and Tool Manufacturing Technology and Process Technology']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['12/2006', '08/2004', '05/1997', '05/1989']","['04/2009', '12/2006', '07/2004', '06/1996']","[None, None, None, None]","['Engineering Aide', 'Service Technician', 'Concrete Finisher', None]","['City, State', 'City, State', 'City, State', None]","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,,,,,,,,"https://github.com/trekhleb, https://leetcode.com/tmwilliamlin168",,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.816666667
,"A versatile and dynamic manager and marketing professional with more than (20) years of sales, management, marketing and promotional experience. A goal oriented and trusted leader, able to communicate effectively with people of all ages and backgrounds, to work collaboratively to resolve problems and to motivate team members to achieve personal and organizational objectives.","['Seasoned Leadership', 'Experienced Manager', 'Motivated', 'Balanced']",['Stephen F. Austin State University'],['Bachelor of Arts Degree'],[None],"[""Dean's List recognition""]",[None],['Communications'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['11/2011', '06/2009', '05/2002', '05/1998', '02/1992']","['05/2014', '10/2011', '06/2009', '05/2002', '05/1998']","[None, None, None, None, None]","['Partner; Business Development', 'Regional Manager; Consumer Engagement', 'Regional Event Marketing Manager', 'One-on-One Marketing Supervisor', 'Sales Representative']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,,,,,,,,"https://github.com/matz, https://leetcode.com/anuragsri96",,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.75
,"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","['accounts payables', 'accounts receivables', 'Accounts Payable', 'Accounts Receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'Computer Applications', 'Credit', 'clients', 'Customer Service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'mortgage loan', 'Enterprise', 'policies', 'QuickBooks', 'Sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']","['Martinez Adult Education, Business Training Center ï¼ City , State']",['Computer Applications Specialist Certificate Program'],['2008'],[None],[None],['Computer Applications'],"['Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'N/A']","[None, None, None, None, None, None]","['January 2011', 'January 2008', 'January 2006', 'January 2004', 'January 2001', 'N/A']","['November 2015', 'January 2010', 'January 2008', 'January 2006', 'January 2004', None]","[['accounts receivables', 'banking', 'G/L Accounts', 'accounts payables', 'credit cards', 'reconcile', 'commission reports', 'credit checks', 'customer service', 'international travel'], ['data entry', 'accounts receivable', 'cash handling', 'customer communication', 'inventory reports', 'problem-solving'], ['mortgage processing', 'analytical aptitude', 'credit reports', 'customer communication'], ['commercial auto underwriting', 'data entry', 'application review', 'customer communication'], ['personal auto underwriting', 'data entry', 'policy review', 'customer service'], ['training', 'medical record review', 'data entry', 'document design', 'customer service', 'team performance']]","['Accountant', 'Accounts Receivable Clerk', 'Mortgage Underwriter', 'Commercial Auto Underwriter', 'Personal Auto Underwriter', 'Claims Examiner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,,,"https://github.com/ghost, https://leetcode.com/Benq",,,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.75
,,"['Machine Learning', 'Cloud Architecture', 'Conversational AI', 'Natural Language Processing', 'Transformers', 'HuggingFace', 'RNN', 'LSTM', 'GRU']","['SJU College, Karnataka']",['B.Tech'],['2020'],['N/A'],['N/A'],['ECE'],['Tech Mahindra'],[None],['Feb 2020'],['Ongoing'],"[['Conversational AI', 'NLP']]",['Associate System Engineer Intern'],['N/A'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['N/A', 'N/A']","['N/A', 'NPTEL']","[None, None]","['Cloud Infrastructure for advanced Computing', 'Machine Learning']",,,,,"https://github.com/antirez, https://leetcode.com/nickwhite",,,Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.683333333
,"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.","['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation, configuration, and troubleshooting', 'Remote Desktop and Help Desk Management', 'Verbal Communication', 'Technical Support', 'Team Leadership', 'Programming Languages', 'On-call tech support', 'Windows & Mac OS', 'Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial', 'Management', 'VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture', 'Application Development', 'Voice Over IP Telephone', 'Inventory Management']","['Glen Oaks High School', 'Glen Oaks High School']","['Bachelor Degree', 'Associate Degree']","[None, None]","[None, None]","[None, None]","['Electronics and Communications Engineering Technology', 'Software Development']","['N/A', 'Company Name', 'Company Name']","[None, None, None]","['August 2006', 'August 2013', 'July 2014']","['January 2013', 'September 2014', 'Current']","[['Microsoft Applications', 'Windows Applications', 'Mac OS and IOS', 'Network routers', 'Cisco ASA firewall', 'Juniper Net-screen', 'LANs, WANs', 'Cloud Experience'], ['Microsoft applications', 'Windows and Mac OS', 'Linux', 'Web Development'], ['Customer Support', 'Technical Support', 'Network Administration', 'Inventory Management']]","['Engineering Systems Installer', 'IT Technician/QA Tester', 'Installation/Service Technician']","['City, State', 'City, State', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['Microsoft Certification'],[None],"https://github.com/torvalds, https://leetcode.com/Um_nik",['May 2013'],[None],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.85
,,"['Econometrics', 'Problem Solving', 'Data Analytics', 'Data Modeling', 'Data Validation', 'Data Reporting', 'Business Intelligence', 'Data Manipulation', 'Data Mining', 'Machine Learning', 'R Programming', 'SQL', 'Oracle', 'Scorecard', 'IFRS']","['Shaheed Bhagat Singh College (M), University of Delhi', 'Indian Statistical Institute (ISI), Delhi']","['B.A (Economics)', 'MSc (Economics)']","['2017', '2019']","['N/A', 'Gold Medalist']","['N/A', 'N/A']","['Economics', 'Economics']",['Home Credit India Finance'],['N/A'],['Nov 2019'],['Till Date'],"[['Data Analytics', 'Machine Learning']]",['Finance Technology Expert'],['N/A'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",['Award'],"['Indian Statistical Institute (ISI), Delhi']",['N/A'],['Gold Medalist'],,,,,"https://github.com/nicowillis, https://leetcode.com/takeuforward",,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.85
"160 Bleecker Street, Apartment 4DW New York, NY 10012",,"['Game Theory', 'Bounded Rationality', 'Cryptography', 'Algorithms', 'Social Networks', 'Analysis of Algorithms', 'Combinatorial Optimizations']","['Cornell University, Department of Computer Science', 'Tel Aviv University, Israel']","['PhD Candidate, Computer Science', 'B.Sc., Double major in Computer Science and Management']","['Present', '2008']","['4.1', 'Summa cum laude']","['GPA', 'N/A']","['Computer Science', 'Computer Science and Management']","['Google, AdX group', 'Google, Google Research', 'Intel, Mobile Wireless Group']","[None, None, None]","['Summer 2013', 'Summer 2012', '2007']","[None, None, '2010']","[['Product Development', 'Algorithm Design', 'Front-end Development'], ['Theoretical Research', 'Data Experiments'], ['Firmware Development', 'Design and Implementation', 'Integration Testing']]","['Summer Intern', 'Summer Intern', 'FW Developer']","['New York, NY', 'Mountain View, CA', 'Petach Tikva, Israel']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['Volunteering', 'Volunteering']","['Intel Israel volunteer network', 'Tel Aviv University']","[None, None]","['Math tutor', 'CCNA teacher']","['English', 'Hebrew']","['Fluent', 'Native']",,,"https://github.com/jwasham, https://leetcode.com/fishercoder",,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.893333333
,"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.","['Business Analysis', 'Machine Learning', 'Requirement Gathering', 'Data Analysis', 'Artificial Intelligence', 'Predictive Modeling', 'Deep Learning', 'Data Modeling', 'Manual Testing', 'Quality Assurance', 'Python', 'R', 'SQL', 'HTML', 'Numpy', 'Tensorflow']","['Indian Institute of Technology (IIT), Mumbai']",['B.Tech'],['2020'],['N/A'],['N/A'],['Mechanical'],['Loyalty Rewards Management. Pvt. Ltd.'],['N/A'],['Aug 2020'],['Till Date'],"[['Business Analysis', 'Data Analysis', 'Designing', 'Predictive Modeling']]",['Business Analyst'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",['Open Source Projects'],['N/A'],[None],['N/A'],,,,,"https://github.com/getify, https://leetcode.com/practice2024",,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.826666667
,"I am a recent graduate who is interested and fascinated by Machine learning. I want to join this industry and be a part of it, learn and contribute towards both the growth of the company and me as an Individuals in terms of skills.","['Machine Learning', 'Deep Learning', 'Neural Networks', 'ML Algorithms', 'Python', 'NumPy', 'Scikit Learn', 'Matplotlib', 'Keras', 'Pandas', 'TensorFlow', 'Seaborn', 'Java', 'ReactJS', 'NodeJS']","['KTM College, Nashik (affiliated with Lucknow University)', 'SPP University, Pune']","['B.Sc', 'MCA']","['2019', '2021']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Computers']",['E-Novate Labs'],['N/A'],['Aug 2020'],['Dec 2020'],"[['Neural Networks', 'Machine Learning', 'Image recognition']]",['Intern Trainee'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,,,,,,"['N/A', 'N/A']","[['Python Programming'], ['Python Programming']]","https://github.com/practice-account, https://leetcode.com/nickwhite","[None, None]","[None, None]",Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.466666667
,,"['Project Management', 'Quality Management System Implementation', 'Production and Engineering Management', 'Staff development', 'Cost reduction', 'Process development and documentation', 'Process improvement/simplification', 'Source evaluation and selection', 'Experience with AutoCAD', 'Microsoft Office', 'Various ERP systems', 'ISO9001 and AS9100 auditing']",['Rose-Hulman Institute of Technology'],['Bachelor of Science'],['1978'],['N/A'],['N/A'],['Mechanical Engineering'],"['Company Name', 'Company Name']","[None, None]","['May 2000', 'April 1980']","['December 2015', 'May 2000']","[['Project Management', 'Quality Management System Implementation', 'Production and Engineering Management', 'Staff development', 'Cost reduction', 'Process development and documentation', 'Process improvement/simplification', 'Source evaluation and selection'], ['Project Management', 'Quality Management System Implementation', 'Production and Engineering Management', 'Staff development', 'Cost reduction', 'Process development and documentation', 'Process improvement/simplification', 'Source evaluation and selection']]","['Engineering Manager/Quality Manager', 'Manufacturing Engineer, Project Engineer, Sales Engineer, Product Development Engineer, and Manufacturing Engineering Manager']","['DeLand, FL', 'City, State']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,"https://github.com/donnemartin, https://leetcode.com/student_dev",,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.65
,,"['GIS', 'lighting designs using Visual Professional', 'Access', 'Excel', 'Microsoft Office', 'Power Point']","['University of South Florida', 'Hillsborough Community College']","['Bachelors', 'Associates Degree']","['June 2017', 'February 2014']","['3.4', '3.7']","['GPA', 'GPA']","['Information Technology', 'N/A']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['10/2014', '06/2013', '08/2012', '06/2011']","['01/2016', '10/2014', '06/2013', '08/2012']","[None, None, None, None]","['Lighting Field Engineering Technician', 'Administrative Technical Aide', 'Customer Service Professional', 'Business Cooperative Education Student- Customer Care']","['City , State', 'City , State', 'City , State', 'City , State']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,"https://github.com/mrdoob, https://leetcode.com/tmwilliamlin168",,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.716666667
,"Committed and motivated professional with exceptional customer service and decision making skills. Extensive experience working with a diverse client base and delivering results. High-achieving professional possessing excellent communication, organizational and analytical capabilities. Background in business development, customer service and project management.","['Problem resolution', 'Results-oriented', 'Meticulous attention to detail', 'Managing multiple priorities', 'Active Learning', 'Client Relations', 'Computer Proficiency', 'Creative Problem Solving', 'Critical Thinking', 'Data Collection', 'Data Entry', 'Documentation', 'Email', 'Executive Management Support', 'Filing', 'Internet Research', 'Letters and Memos', 'Minute Taking', 'Multi-Task Management', 'Organizational Skills', 'Research', 'Scheduling', 'Service Orientation', 'Speaking', 'Spreadsheets', 'Travel Arrangements']","['Denver High School', 'Front Range Community College']","['High School Diploma', None]","['1996', None]","[None, None]","[None, None]","[None, 'General Studies']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['February 2015', 'November 2014', 'November 2012', 'April 2012', 'April 2011', 'September 2006']","['September 2015', 'February 2015', 'January 2014', 'November 2012', 'December 2011', 'December 2011']","[None, None, None, ['Microsoft Office proficiency', 'Customer relations specialist', 'Employee training and development'], None, None]","['Business Development', 'Service Manager', 'System Technology Specialist', 'Project Manager', 'Support Manager', 'Project Administrator']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,,,"https://github.com/getify, https://leetcode.com/Benq",,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.85
,Data Science Explorer with a keen interest in application models of Machine learning.,"['SAAS', 'Data Analyst', 'SQL', 'SPSS', 'Statistical Analysis', 'Microsoft Azure', 'Power Bi', 'MySQL', 'Excel', 'Data Visualization', 'Data Interpretation', 'Data Extraction', 'Cloud Computing', 'Business Intelligence']",['Pune university'],['B.Tech'],['2019'],['N/A'],['N/A'],['Electrical'],['DTSl Software Services'],['N/A'],['Jul 2019'],['Ongoing'],"[['Business Intelligence', 'Data Analysis', 'Report Synthesis', 'Solution Documentation']]",['Associate Data Engineer'],['N/A'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,,,,,,['N/A'],[None],"https://github.com/newbie-coder, https://leetcode.com/nickwhite",['N/A'],[None],"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,Age 25 to 40 years,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","HRM Report
Human Resource Management
NGO",0.35
,"I'm passionate learner with a knack for Artificial Intelligence. The kind of problems AI can solve, fills me with enthusiasm to learn more and contribute more. I have dedicated more than a year developing and training Machine learning Models across several projects.","['Data Science', 'Data Analysis', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Python', 'MATLAB', 'NLP', 'Computer Vision', 'Keras', 'Pytorch', 'RNN']","['IIT Kharagpur', 'IIT Kharagpur']","['B.Tech', 'M.Tech']","['2017', '2019']","['N/A', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']",['IIT Labs'],['N/A'],['May 2019'],['till date'],"[['Artificial Intelligence', 'Machine Learning', 'Publication', 'Model Development', 'Model Tuning']]",['Associate Researcher'],['N/A'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",['Developer'],['Pytorch Academy'],['N/A'],['PyTorch Developer'],,,,,"https://github.com/newbie-coder, https://leetcode.com/ksun48",,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.85
